,graph_id,u,v,label
0,0,0,1,0
1,0,0,2,0
2,0,0,3,0
3,0,1,2,0
4,0,1,9,0
5,0,1,14,0
6,0,1,17,0
7,0,1,18,0
8,0,1,19,0
9,0,1,28,0
10,0,1,41,0
11,0,1,45,0
12,0,1,46,0
13,0,1,51,0
14,0,1,91,0
15,0,1,102,0
16,0,2,3,0
17,0,2,9,0
18,0,2,11,0
19,0,2,14,0
20,0,2,17,0
21,0,2,21,0
22,0,2,22,0
23,0,2,23,0
24,0,2,24,0
25,0,2,25,0
26,0,2,26,0
27,0,2,27,0
28,0,2,31,0
29,0,2,34,0
30,0,2,36,0
31,0,2,41,0
32,0,2,42,0
33,0,2,45,0
34,0,2,50,0
35,0,2,51,0
36,0,2,54,0
37,0,2,66,0
38,0,2,73,0
39,0,2,83,0
40,0,2,93,0
41,0,2,97,0
42,0,2,98,0
43,0,2,102,0
44,0,2,104,0
45,0,2,105,0
46,0,2,111,0
47,0,3,9,0
48,0,3,10,0
49,0,3,18,0
50,0,3,41,0
51,0,3,43,0
52,0,3,51,0
53,0,3,85,0
54,0,4,5,0
55,0,4,89,0
56,0,5,6,0
57,0,5,17,0
58,0,5,27,0
59,0,5,32,0
60,0,5,39,0
61,0,5,43,0
62,0,6,7,0
63,0,6,32,0
64,0,6,51,0
65,0,6,52,0
66,0,6,55,0
67,0,7,15,0
68,0,7,17,0
69,0,7,21,0
70,0,7,37,0
71,0,7,38,0
72,0,7,51,0
73,0,7,70,0
74,0,7,75,0
75,0,7,87,0
76,0,7,106,0
77,0,8,9,0
78,0,9,12,0
79,0,9,17,0
80,0,9,24,0
81,0,9,25,0
82,0,9,26,0
83,0,9,39,0
84,0,9,40,0
85,0,9,42,0
86,0,9,59,0
87,0,9,60,0
88,0,9,61,0
89,0,9,62,0
90,0,9,89,0
91,0,10,11,0
92,0,10,12,0
93,0,10,50,0
94,0,11,40,0
95,0,11,63,0
96,0,11,69,0
97,0,11,98,0
98,0,11,104,0
99,0,12,17,0
100,0,12,18,0
101,0,12,43,0
102,0,12,50,0
103,0,12,87,0
104,0,12,88,0
105,0,12,102,0
106,0,12,104,0
107,0,13,14,0
108,0,13,15,0
109,0,13,16,0
110,0,13,17,0
111,0,13,18,0
112,0,13,102,0
113,0,14,16,0
114,0,14,17,0
115,0,14,25,0
116,0,14,36,0
117,0,14,37,0
118,0,14,59,0
119,0,14,68,0
120,0,14,71,0
121,0,14,105,0
122,0,15,17,0
123,0,15,32,0
124,0,15,38,0
125,0,15,43,0
126,0,15,48,0
127,0,15,75,0
128,0,15,76,0
129,0,15,79,0
130,0,15,88,0
131,0,15,104,0
132,0,16,68,0
133,0,17,21,0
134,0,17,22,0
135,0,17,24,0
136,0,17,25,0
137,0,17,26,0
138,0,17,27,0
139,0,17,28,0
140,0,17,31,0
141,0,17,32,0
142,0,17,34,0
143,0,17,35,0
144,0,17,36,0
145,0,17,37,0
146,0,17,38,0
147,0,17,43,0
148,0,17,44,0
149,0,17,50,0
150,0,17,51,0
151,0,17,52,0
152,0,17,54,0
153,0,17,65,0
154,0,17,66,0
155,0,17,67,0
156,0,17,70,0
157,0,17,72,0
158,0,17,77,0
159,0,17,80,0
160,0,17,82,0
161,0,17,83,0
162,0,17,84,0
163,0,17,85,0
164,0,17,86,0
165,0,17,87,0
166,0,17,88,0
167,0,17,89,0
168,0,17,93,0
169,0,17,98,0
170,0,17,102,0
171,0,17,103,0
172,0,17,104,0
173,0,18,21,0
174,0,18,29,0
175,0,18,34,0
176,0,18,43,0
177,0,18,44,0
178,0,18,50,0
179,0,18,51,0
180,0,18,53,0
181,0,18,54,0
182,0,18,60,0
183,0,19,20,0
184,0,19,21,0
185,0,19,22,0
186,0,19,23,0
187,0,19,24,0
188,0,19,25,0
189,0,19,26,0
190,0,19,27,0
191,0,20,43,0
192,0,20,79,0
193,0,20,94,0
194,0,20,108,0
195,0,21,28,0
196,0,21,43,0
197,0,21,48,0
198,0,21,50,0
199,0,21,51,0
200,0,22,45,0
201,0,22,94,0
202,0,23,43,0
203,0,23,47,0
204,0,23,51,0
205,0,23,59,0
206,0,23,69,0
207,0,23,105,0
208,0,24,36,0
209,0,24,43,0
210,0,24,47,0
211,0,24,49,0
212,0,24,68,0
213,0,24,75,0
214,0,24,76,0
215,0,24,87,0
216,0,24,103,0
217,0,24,104,0
218,0,24,108,0
219,0,25,30,0
220,0,25,41,0
221,0,25,46,0
222,0,25,48,0
223,0,25,51,0
224,0,25,59,0
225,0,25,77,0
226,0,25,88,0
227,0,25,104,0
228,0,26,43,0
229,0,26,51,0
230,0,26,56,0
231,0,26,68,0
232,0,26,79,0
233,0,26,80,0
234,0,26,104,0
235,0,27,43,0
236,0,27,52,0
237,0,27,54,0
238,0,27,63,0
239,0,27,68,0
240,0,27,76,0
241,0,27,79,0
242,0,27,80,0
243,0,27,87,0
244,0,27,96,0
245,0,27,103,0
246,0,28,29,0
247,0,28,30,0
248,0,28,31,0
249,0,28,32,0
250,0,28,33,0
251,0,28,34,0
252,0,28,35,0
253,0,28,44,0
254,0,28,89,0
255,0,28,92,0
256,0,29,58,0
257,0,29,74,0
258,0,29,79,0
259,0,30,51,0
260,0,30,79,0
261,0,30,84,0
262,0,30,92,0
263,0,31,32,0
264,0,31,41,0
265,0,31,43,0
266,0,31,51,0
267,0,31,79,0
268,0,31,86,0
269,0,31,103,0
270,0,31,104,0
271,0,31,108,0
272,0,32,51,0
273,0,32,52,0
274,0,32,70,0
275,0,32,100,0
276,0,33,76,0
277,0,33,84,0
278,0,33,104,0
279,0,33,107,0
280,0,34,51,0
281,0,34,54,0
282,0,34,107,0
283,0,35,48,0
284,0,35,51,0
285,0,35,71,0
286,0,35,104,0
287,0,36,43,0
288,0,36,55,0
289,0,36,87,0
290,0,37,38,0
291,0,37,47,0
292,0,37,57,0
293,0,37,58,0
294,0,37,59,0
295,0,37,72,0
296,0,37,103,0
297,0,38,39,0
298,0,38,40,0
299,0,38,41,0
300,0,38,51,0
301,0,38,104,0
302,0,39,43,0
